County,"All
Ages",15-19,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,
State Total2014,12.8,8.8,4.9,14.5,23.8,19.7,12.6,8.0,2.6,,
Adams2014,6.3,7.5,*,*,15.7,*,*,*,*,,
Asotin2014,9.7,*,*,*,21.1,14.9,8.1,*,*,,
Benton2014,9.3,6.6,4.4,10.6,20.5,14.9,6.5,4.8,1.0,,
Chelan2014,6.9,4.9,*,9.8,13.9,8.6,7.8,5.3,*,,
Clallam2014,12.2,13.3,9.5,20.0,25.1,16.3,10.9,7.3,*,,
Clark2014,10.4,7.7,4.2,13.7,19.5,17.4,9.9,5.9,1.8,,
Columbia2014,10.8,*,*,*,*,*,*,*,*,,
Cowlitz2014,9.5,6.8,5.1,9.9,15.6,15.3,10.6,6.2,*,,
Douglas2014,6.2,*,*,*,14.3,10.6,7.4,*,*,,
Ferry2014,4.7,*,*,*,*,*,*,*,*,,
Franklin2014,7.6,6.3,3.3,12.0,12.7,10.6,7.3,6.3,1.9,,
Garfield2014,*,*,*,*,*,*,*,*,*,,
Grant2014,6.8,5.0,*,11.1,16.1,10.3,6.1,1.8,*,,
Grays Harbor2014,10.8,10.2,7.3,15.2,17.4,15.0,14.5,5.4,*,,
Island2014,9.4,9.3,5.1,16.1,13.2,11.9,8.0,11.0,*,,
Jefferson2014,17.0,*,*,*,42.5,22.0,21.7,10.2,*,,
King2014,15.0,10.2,5.4,17.1,29.5,22.1,14.3,10.3,3.8,,
Kitsap2014,12.1,10.1,5.9,16.9,25.0,18.8,11.4,6.0,2.1,,
Kittitas2014,7.7,3.6,*,5.4,13.9,10.3,9.6,*,*,,
Klickitat2014,6.2,*,*,*,16.7,*,*,*,*,,
Lewis2014,11.7,7.6,4.3,13.3,21.1,18.7,12.4,5.8,2.3,,
Lincoln2014,6.6,*,*,*,*,25.1,*,*,*,,
Mason2014,13.8,15.9,12.1,22.4,27.2,17.1,11.3,6.6,3.7,,
Okanogan2014,9.1,4.6,*,*,21.3,16.9,9.4,*,*,,
Pacific2014,9.0,*,*,*,13.9,12.5,13.6,*,*,,
Pend Oreille2014,4.3,*,*,*,*,20.2,*,*,*,,
Pierce2014,16.8,12.4,6.2,23.0,30.7,25.7,16.0,10.1,3.2,,
San Juan2014,10.6,*,*,*,19.7,20.7,14.0,*,*,,
Skagit2014,11.2,10.0,4.1,20.3,21.1,18.2,12.2,3.3,*,,
Skamania2014,2.7,*,*,*,*,*,*,*,*,,
Snohomish2014,12.8,8.6,4.6,15.5,24.0,19.8,14.0,8.5,2.5,,
Spokane2014,10.8,6.9,4.7,9.4,17.8,17.4,11.7,6.0,1.7,,
Stevens2014,5.8,*,*,*,5.7,16.5,6.1,5.9,*,,
Thurston2014,12.1,8.7,4.6,14.7,22.2,19.3,12.2,7.8,2.1,,
Wahkiakum2014,10.5,*,*,*,*,*,*,*,*,,
Walla Walla2014,7.2,4.7,*,9.3,11.3,13.2,6.1,3.3,*,,
Whatcom2014,9.9,6.3,4.3,7.9,18.6,13.2,8.3,6.5,2.8,,
Whitman2014,6.8,3.2,*,4.2,10.7,8.3,4.8,*,*,,
Yakima2014,12.0,10.6,6.0,19.6,26.6,20.1,9.6,4.7,1.7,,
State Total2013,12.8,10.0,5.7,16.3,24.4,19.2,12.3,7.4,2.7,,
Adams2013,6.1,*,*,*,16.2,*,9.7,7.9,*,,
Asotin2013,10.7,14.7,*,24.3,12.6,16.2,9.7,*,*,,
Benton2013,8.9,6.9,2.9,13.8,18.5,13.5,7.2,5.1,1.6,,
Chelan2013,8.3,6.6,4.9,9.7,18.7,12.5,6.0,4.9,*,,
Clallam2013,11.8,11.4,8.4,16.6,22.4,16.8,11.5,6.2,*,,
Clark2013,10.7,8.7,4.7,15.6,23.2,15.4,9.2,6.0,2.5,,
Columbia2013,*,*,*,*,*,*,*,*,*,,
Cowlitz2013,8.4,7.3,3.5,13.9,14.7,12.4,8.3,5.2,*,,
Douglas2013,5.2,3.7,*,*,10.7,8.8,5.8,*,*,,
Ferry2013,8.4,*,*,*,*,*,*,*,*,,
Franklin2013,11.2,13.9,8.5,24.5,24.0,16.3,5.2,4.8,*,,
Garfield2013,*,*,*,*,*,*,*,*,*,,
Grant2013,7.2,7.2,2.9,15.4,15.3,9.7,5.1,2.2,1.9,,
Grays Harbor2013,9.5,7.5,*,14.6,14.5,14.0,11.6,6.0,2.5,,
Island2013,9.0,6.5,5.9,7.3,16.4,15.8,6.6,3.7,2.4,,
Jefferson2013,15.5,11.6,*,*,29.2,25.9,11.8,12.2,*,,
King2013,15.0,11.3,6.5,18.2,29.3,21.8,15.0,9.4,3.7,,
Kitsap2013,12.5,10.9,6.0,18.7,25.6,18.6,10.9,7.2,2.4,,
Kittitas2013,7.2,4.6,*,4.9,9.5,10.8,9.4,*,*,,
Klickitat2013,6.5,*,*,*,18.6,*,*,*,*,,
Lewis2013,11.8,12.5,7.5,22.0,21.2,19.3,10.5,6.3,*,,
Lincoln2013,5.3,*,*,*,*,*,*,*,*,,
Mason2013,15.4,14.7,12.3,18.6,23.8,22.2,20.8,5.3,5.4,,
Okanogan2013,10.3,8.7,*,15.8,17.6,17.5,11.2,*,*,,
Pacific2013,8.5,*,*,*,13.2,*,11.3,*,*,,
Pend Oreille2013,9.7,*,*,*,20.2,28.3,*,*,*,,
Pierce2013,16.8,14.5,7.6,26.1,32.8,25.0,15.1,8.0,2.9,,
San Juan2013,6.7,*,*,*,16.9,*,*,*,*,,
Skagit2013,12.5,13.5,10.6,18.5,21.4,19.9,12.2,4.5,1.7,,
Skamania2013,4.9,*,*,*,*,*,*,*,*,,
Snohomish2013,12.4,9.4,4.5,17.4,26.6,17.8,12.0,7.5,2.4,,
Spokane2013,10.2,7.5,4.3,11.4,18.1,15.6,9.3,5.8,1.8,,
Stevens2013,6.3,8.1,5.4,12.4,9.9,7.9,7.0,*,*,,
Thurston2013,12.3,9.3,3.9,17.1,22.9,19.4,11.9,7.6,1.8,,
Wahkiakum2013,*,*,*,*,*,*,*,*,*,,
Walla Walla2013,8.1,10.5,6.4,15.4,8.6,13.0,8.7,4.0,*,,
Whatcom2013,9.6,5.3,3.1,7.1,17.3,13.0,10.2,6.3,2.4,,
Whitman2013,5.1,2.9,*,3.6,7.3,4.9,*,7.9,*,,
Yakima2013,12.8,12.0,7.2,20.9,27.7,21.5,10.3,4.3,1.9,,
State Total2012,13.5,11.1,6.5,17.9,25.9,19.6,12.6,7.7,2.8,,
Adams2012,4.3,*,*,*,*,*,*,*,*,,
Asotin2012,11.1,10.6,*,*,19.3,17.5,8.1,*,*,,
Benton2012,9.8,8.9,4.5,16.1,20.3,13.8,7.5,4.7,2.1,,
Chelan2012,6.6,5.1,3.4,7.8,9.6,13.0,6.5,4.9,*,,
Clallam2012,12.2,13.4,6.6,24.8,22.7,11.9,16.9,6.3,*,,
Clark2012,9.8,8.9,5.6,14.6,21.6,12.6,9.1,5.1,2.1,,
Columbia2012,*,*,*,*,*,*,*,*,*,,
Cowlitz2012,9.4,8.0,4.0,14.4,19.3,16.7,6.3,5.1,*,,
Douglas2012,7.2,5.1,*,11.3,16.7,12.3,5.8,*,*,,
Ferry2012,11.2,*,*,*,33.0,*,*,*,*,,
Franklin2012,9.4,12.2,6.7,22.8,15.8,11.9,6.3,6.7,*,,
Garfield2012,*,*,*,*,*,*,*,*,*,,
Grant2012,8.8,8.5,6.5,12.1,16.9,11.4,8.2,5.9,*,,
Grays Harbor2012,13.7,10.7,7.8,15.6,19.8,26.9,13.6,6.0,2.9,,
Island2012,12.8,15.0,8.1,24.6,23.7,13.9,11.4,7.8,3.2,,
Jefferson2012,14.6,12.5,*,33.5,16.8,26.0,18.3,12.3,*,,
King2012,15.6,12.3,6.9,20.1,30.4,22.0,16.0,9.9,4.0,,
Kitsap2012,13.1,12.4,6.1,21.9,28.4,17.8,11.7,5.8,2.0,,
Kittitas2012,8.3,4.7,*,5.9,13.7,14.7,7.3,*,*,,
Klickitat2012,7.1,*,*,*,25.3,*,*,*,*,,
Lewis2012,12.0,12.7,7.5,21.7,24.4,19.9,6.4,7.4,*,,
Lincoln2012,*,*,*,*,*,*,*,*,*,,
Mason2012,11.5,12.5,8.9,18.6,24.2,13.3,14.0,3.3,*,,
Okanogan2012,11.4,7.6,7.1,*,24.7,18.7,9.2,7.4,*,,
Pacific2012,10.3,12.5,*,*,23.3,14.3,*,*,*,,
Pend Oreille2012,5.4,12.3,*,*,*,*,*,*,*,,
Pierce2012,17.0,15.3,8.1,26.9,33.3,25.4,14.2,8.6,2.7,,
San Juan2012,8.2,*,*,*,20.6,29.1,*,*,*,,
Skagit2012,11.5,10.5,6.8,16.1,26.6,12.7,9.8,7.0,1.7,,
Skamania2012,7.6,*,*,*,28.3,*,*,*,*,,
Snohomish2012,13.4,10.9,6.4,18.1,28.3,20.6,12.5,7.5,2.5,,
Spokane2012,10.9,8.1,4.9,12.3,19.5,15.7,10.7,5.1,2.0,,
