County,"All
Ages",15-19,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,
Pacific2008,16.4,16.7,N,31.7,23.2,28.2,20.0,12.3,N,,
Pend Oreille2008,10.0,17.2,N,N,20.2,N,N,N,N,,
Pierce2008,22.9,25.8,14.7,43.2,45.6,30.8,18.6,10.5,3.7,,
San Juan2008,18.0,15.9,N,48.1,59.1,19.3,16.3,N,N,,
Skagit2008,15.7,19.3,12.9,30.4,35.2,21.9,9.2,6.5,2.0,,
Skamania2008,5.3,13.9,N,N,N,N,N,N,N,,
Snohomish2008,19.2,19.7,11.5,34.1,42.1,25.3,17.1,10.5,3.6,,
Spokane2008,13.8,14.9,8.9,22.3,25.5,18.1,10.5,6.8,1.7,,
Stevens2008,9.7,10.7,4.5,25.9,28.5,13.5,10.7,N,N,,
Thurston2008,18.3,19.4,10.5,33.5,37.7,25.3,14.5,9.7,2.1,,
Wahkiakum2008,19.8,N,N,N,N,N,N,N,N,,
Walla Walla2008,11.2,12.2,11.0,13.3,20.4,16.3,7.4,5.7,N,,
Whatcom2008,13.7,14.4,11.5,16.9,22.4,17.2,11.3,6.2,2.4,,
Whitman2008,7.9,6.2,N,6.1,10.7,10.8,4.8,N,N,,
Yakima2008,16.3,17.7,11.0,29.3,33.1,20.7,12.6,8.5,1.3,,
State Total2007,18.3,20.0,12.6,31.4,35.4,25.5,15.6,9.3,3.1,,
Adams2007,9.0,10.7,12.4,N,24.5,N,9.1,N,N,,
Asotin2007,11.4,12.1,N,17.7,21.6,16.8,14.2,N,N,,
Benton2007,13.9,19.7,14.4,29.6,28.2,19.4,6.1,5.2,2.8,,
Chelan2007,14.3,18.7,13.3,28.3,33.0,15.3,9.5,5.0,3.5,,
Clallam2007,16.1,22.8,16.9,32.9,33.8,20.9,10.9,6.2,N,,
Clark2007,14.2,14.9,7.6,28.5,28.3,21.6,13.4,7.1,2.2,,
Columbia2007,N,N,N,N,N,N,N,N,N,,
Cowlitz2007,11.5,14.3,11.1,19.8,21.3,20.4,8.6,3.1,2.1,,
Douglas2007,13.6,13.0,6.4,27.1,31.1,24.3,6.7,9.2,N,,
Ferry2007,9.3,N,N,N,N,N,N,N,N,,
Franklin2007,13.1,17.2,13.6,23.3,26.4,15.8,9.0,4.2,N,,
Garfield2007,N,N,N,N,N,N,N,N,N,,
Grant2007,8.1,7.8,5.3,12.0,18.8,9.8,5.3,5.3,N,,
Grays Harbor2007,14.3,12.3,7.2,20.9,30.5,26.1,9.9,4.8,4.0,,
Island2007,14.0,14.9,9.0,26.5,30.1,19.3,8.4,6.9,2.8,,
Jefferson2007,16.3,8.4,N,N,23.9,44.2,14.2,11.8,7.0,,
King2007,21.8,24.1,15.3,37.1,41.3,29.2,19.7,12.6,4.4,,
Kitsap2007,16.7,17.6,11.1,29.0,35.8,23.6,14.1,8.0,2.4,,
Kittitas2007,12.1,14.8,11.4,16.4,10.8,21.6,16.7,7.9,N,,
Klickitat2007,8.8,12.1,N,24.2,16.4,11.2,10.1,N,N,,
Lewis2007,16.5,18.1,9.3,33.3,28.6,26.9,14.7,8.6,3.4,,
Lincoln2007,6.4,N,N,N,N,N,N,N,N,,
Mason2007,16.8,24.2,13.1,43.9,32.2,19.8,16.6,6.7,N,,
Okanogan2007,13.6,10.7,8.6,14.9,36.8,23.2,11.2,4.2,N,,
Pacific2007,12.2,12.6,N,N,25.3,21.4,12.2,N,N,,
Pend Oreille2007,8.3,16.9,N,N,N,N,N,N,N,,
Pierce2007,22.5,24.4,14.0,41.0,47.2,30.7,19.0,9.6,3.2,,
San Juan2007,21.2,23.9,18.3,N,51.8,36.9,N,15.4,N,,
Skagit2007,15.9,24.7,16.7,39.1,29.3,19.4,13.5,5.6,1.6,,
Skamania2007,8.9,N,N,N,21.9,19.2,N,N,N,,
Snohomish2007,19.3,22.2,12.0,40.4,42.8,26.5,15.7,10.1,2.7,,
Spokane2007,14.5,16.6,11.8,22.7,24.7,21.9,11.2,6.1,2.5,,
Stevens2007,8.5,10.7,7.0,19.8,22.5,13.8,5.0,5.0,N,,
Thurston2007,19.1,19.2,9.7,34.6,41.8,25.5,14.5,9.9,3.3,,
Wahkiakum2007,9.7,N,N,N,N,N,N,N,N,,
Walla Walla2007,12.3,16.5,14.9,18.1,19.8,20.0,4.1,5.6,N,,
Whatcom2007,14.4,16.0,12.5,19.3,23.0,16.9,13.0,7.3,2.5,,
Whitman2007,9.4,5.4,N,6.4,13.0,8.9,10.0,8.6,N,,
Yakima2007,16.9,19.5,13.9,29.2,32.6,23.9,11.2,6.2,2.6,,
State Total2006,18.5,19.9,12.3,31.6,36.1,26.5,15.5,10.0,3.1,,
Adams2006,8.0,8.2,N,19.4,18.2,N,N,N,N,,
Asotin2006,12.2,12.2,N,24.8,29.7,19.1,N,N,N,,
Benton2006,12.8,15.2,9.5,25.7,26.5,18.2,10.1,4.3,2.2,,
Chelan2006,11.7,16.5,10.4,27.4,23.3,12.2,8.4,5.0,3.8,,
Clallam2006,13.9,19.7,13.6,30.2,31.4,14.6,11.7,8.9,N,,
Clark2006,15.5,16.0,10.1,26.9,31.1,25.4,13.5,7.9,2.2,,
Columbia2006,12.8,N,N,N,N,N,N,N,N,,
Cowlitz2006,14.4,22.0,18.1,28.6,29.2,17.3,7.8,8.5,2.0,,
Douglas2006,10.2,13.3,12.0,16.0,23.2,9.8,6.8,7.6,N,,
Ferry2006,5.8,N,N,N,N,N,N,N,N,,
Franklin2006,14.1,14.2,8.9,23.2,25.1,21.6,11.7,4.5,4.2,,
Garfield2006,N,N,N,N,N,N,N,N,N,,
Grant2006,9.0,11.4,8.3,16.4,17.3,12.6,6.6,3.5,N,,
Grays Harbor2006,14.3,15.9,7.8,29.7,29.4,20.5,12.6,6.7,N,,
Island2006,13.7,15.9,5.9,35.4,35.3,15.5,8.3,4.7,2.0,,
Jefferson2006,13.5,13.9,N,29.8,46.8,10.4,10.5,8.7,N,,
King2006,21.5,22.7,13.7,35.8,41.7,29.7,19.1,12.9,4.1,,
Kitsap2006,17.1,17.1,9.9,29.8,38.1,26.5,14.6,6.4,2.3,,
Kittitas2006,11.8,11.9,N,14.5,13.5,20.9,11.2,7.0,N,,
Klickitat2006,10.2,12.1,N,N,28.2,13.7,N,8.1,N,,
Lewis2006,13.2,10.7,7.4,16.2,26.6,19.7,14.8,8.7,N,,
Lincoln2006,5.7,N,N,N,N,N,N,N,N,,
Mason2006,16.3,17.8,10.7,30.8,34.8,21.9,19.2,6.8,2.8,,
Okanogan2006,10.9,14.7,12.6,18.8,23.9,12.7,10.9,5.0,N,,
Pacific2006,15.6,22.7,15.9,35.9,39.8,26.9,N,N,N,,
Pend Oreille2006,10.8,N,N,N,34.0,24.8,N,N,N,,
Pierce2006,23.1,26.0,15.0,43.6,46.4,34.1,17.9,11.2,3.3,,
San Juan2006,16.3,N,N,N,40.2,31.7,N,20.4,N,,
Skagit2006,16.8,21.5,13.8,35.0,36.8,20.3,11.3,8.5,2.1,,
Skamania2006,7.8,N,N,N,26.1,N,N,N,N,,
Snohomish2006,19.5,21.7,13.0,37.1,41.7,28.8,14.7,11.0,3.8,,
Spokane2006,16.2,17.5,11.0,25.7,30.2,21.9,14.2,7.8,1.9,,
Stevens2006,9.4,9.4,6.1,17.5,20.0,17.7,8.8,4.9,N,,
Thurston2006,19.9,21.4,10.8,38.3,43.6,26.5,14.1,10.4,3.8,,
Wahkiakum2006,N,N,N,N,N,N,N,N,N,,
Walla Walla2006,14.4,15.9,11.7,19.9,21.3,19.4,14.2,8.8,N,,
Whatcom2006,15.6,18.7,13.6,23.3,21.6,22.0,13.6,7.9,4.0,,
Whitman2006,9.6,6.8,N,7.7,13.9,9.2,8.8,5.3,N,,
Yakima2006,16.5,21.1,15.0,31.8,32.6,23.2,10.7,4.8,2.4,,
State Total2005,18.3,19.8,12.5,30.9,36.5,26.1,15.8,9.5,3.1,,
Adams2005,8.9,12.3,N,19.4,16.8,12.8,N,N,N,,
Asotin2005,10.9,12.1,N,21.2,31.9,N,N,N,N,,
Benton2005,14.4,21.4,12.2,37.9,24.4,22.2,10.8,5.7,1.8,,
Chelan2005,11.7,11.2,7.5,17.6,28.8,13.8,9.8,6.5,N,,
Clallam2005,16.4,18.2,17.6,19.3,39.8,21.0,10.9,10.7,N,,
Clark2005,15.6,14.2,8.9,23.7,34.7,24.4,14.2,8.0,2.1,,
Columbia2005,N,N,N,N,N,N,N,N,N,,
Cowlitz2005,12.2,14.2,9.2,22.6,27.4,17.6,10.1,4.8,1.4,,
Douglas2005,8.8,8.3,N,20.6,15.9,16.7,4.9,6.1,N,,
Ferry2005,7.4,N,N,N,N,N,N,N,N,,
Franklin2005,14.2,13.0,8.8,20.1,29.8,20.1,10.9,4.9,N,,
Garfield2005,N,N,N,N,N,N,N,N,N,,
Grant2005,8.0,14.4,7.5,25.9,17.9,7.0,2.5,2.8,N,,
Grays Harbor2005,16.4,14.7,9.7,23.0,40.1,19.0,13.3,11.9,2.4,,
Island2005,14.6,14.8,7.3,28.8,34.5,19.6,12.3,5.1,3.0,,
Jefferson2005,14.6,19.4,N,46.6,37.8,22.0,11.9,7.2,N,,
King2005,21.2,23.6,14.2,37.0,41.9,29.0,19.3,11.9,4.4,,
Kitsap2005,16.9,20.0,9.5,38.6,37.0,23.0,12.8,8.7,3.1,,
Kittitas2005,11.0,9.3,N,11.5,15.5,17.0,6.6,8.0,N,,
Klickitat2005,6.6,9.1,N,N,11.7,N,N,N,N,,
Lewis2005,17.6,19.8,15.0,28.2,32.1,30.1,13.6,10.6,2.4,,
Lincoln2005,6.2,N,N,N,N,N,N,N,N,,
Mason2005,17.1,18.1,13.6,26.3,36.8,33.5,13.8,5.7,N,,
Okanogan2005,11.5,18.1,13.7,26.7,18.3,14.2,11.6,6.7,N,,
Pacific2005,14.6,22.5,15.8,35.5,38.2,23.3,11.5,N,N,,
Pend Oreille2005,7.6,N,N,N,26.4,N,N,N,N,,
Pierce2005,22.7,25.1,15.9,39.4,45.7,33.5,18.9,11.5,3.0,,
San Juan2005,17.1,13.4,N,N,53.3,25.8,19.5,N,8.7,,
Skagit2005,18.2,18.7,11.3,31.5,46.3,24.6,14.9,7.0,1.3,,
Skamania2005,7.3,N,N,N,N,24.9,N,N,N,,
Snohomish2005,19.0,20.0,12.2,33.7,42.6,27.6,15.5,10.7,3.6,,
Spokane2005,15.3,18.2,12.0,26.0,29.0,20.3,11.6,6.9,2.1,,
Stevens2005,9.9,13.9,9.8,24.1,23.8,14.6,9.5,N,N,,
Thurston2005,18.8,20.7,13.1,32.8,38.1,28.1,17.0,8.1,3.2,,
Wahkiakum2005,9.2,N,N,N,N,N,N,N,N,,
Walla Walla2005,9.5,8.1,6.7,9.5,15.8,16.7,8.5,4.4,N,,
Whatcom2005,15.0,16.2,13.9,18.3,23.4,22.4,13.6,5.2,3.2,,
Whitman2005,8.7,6.9,8.1,6.5,11.3,6.9,11.3,9.4,N,,
Yakima2005,17.8,22.6,14.6,36.6,37.3,22.3,12.7,6.8,1.2,,
State Total2004,18.7,20.4,12.9,31.5,38.1,26.9,16.0,9.4,3.3,,
Adams2004,9.8,15.2,N,31.0,25.6,N,N,N,N,,
Asotin2004,11.9,10.6,N,17.7,35.5,12.2,11.7,N,N,,
Benton2004,13.7,19.4,12.0,32.5,27.3,17.4,10.7,5.5,2.6,,
Chelan2004,14.2,17.4,9.0,31.9,31.5,12.5,16.7,6.9,2.4,,
Clallam2004,13.9,14.7,8.0,26.2,33.2,22.0,14.1,4.4,N,,
Clark2004,15.4,17.5,9.6,31.3,32.1,24.1,13.4,7.8,2.2,,
Columbia2004,N,N,N,N,N,N,N,N,N,,
Cowlitz2004,12.4,10.9,5.6,19.6,31.3,17.5,10.5,5.7,2.2,,
Douglas2004,9.3,14.6,10.4,22.7,19.5,11.9,8.8,N,N,,
Ferry2004,5.7,N,N,N,N,N,N,N,N,,
Franklin2004,14.6,13.9,8.1,23.5,29.1,21.0,11.5,3.7,5.0,,
Garfield2004,N,N,N,N,N,N,N,N,N,,
Grant2004,9.8,13.0,8.6,20.2,20.4,13.2,5.7,3.7,N,,
Grays Harbor2004,18.5,20.7,13.7,32.6,43.6,27.1,11.9,9.0,2.0,,
Island2004,15.2,23.0,8.9,48.9,28.7,21.3,14.2,5.1,1.9,,
Jefferson2004,14.1,12.6,12.4,N,34.9,13.7,20.3,10.1,5.0,,
King2004,22.1,22.9,14.6,34.6,44.6,31.3,19.4,12.6,4.5,,
Kitsap2004,17.6,21.5,13.3,35.9,39.8,23.2,14.0,8.6,2.7,,
Kittitas2004,15.0,13.9,8.3,16.8,19.3,18.7,18.5,9.1,4.3,,
Klickitat2004,6.5,9.1,N,N,11.8,11.7,N,N,N,,
Lewis2004,15.6,16.7,8.8,30.2,35.5,18.1,16.5,6.9,3.1,,
Lincoln2004,8.6,N,N,N,N,N,N,N,N,,
Mason2004,18.6,21.3,11.9,38.3,45.6,29.6,14.5,5.7,4.8,,
Okanogan2004,12.9,12.4,12.5,12.1,34.1,17.6,13.1,5.0,N,,
Pacific2004,16.4,22.4,N,45.2,36.9,32.1,N,N,N,,
Pend Oreille2004,4.0,N,N,N,28.0,N,N,N,N,,
Pierce2004,22.6,24.3,15.8,37.3,47.5,32.5,21.0,10.0,3.2,,
San Juan2004,20.5,33.1,N,81.1,42.9,31.4,N,12.5,N,,
Skagit2004,15.7,16.6,10.3,27.2,36.1,20.7,13.6,7.3,3.3,,
Skamania2004,6.2,N,N,N,23.0,N,N,N,N,,
Snohomish2004,19.6,25.3,14.3,44.1,44.4,26.4,15.9,9.7,3.5,,
Spokane2004,16.1,18.7,11.8,27.2,29.1,23.8,13.2,7.8,2.3,,
Stevens2004,9.2,10.2,9.0,13.1,14.5,23.6,9.3,4.1,N,,
Thurston2004,18.7,19.9,12.8,31.0,38.4,29.9,13.4,8.9,4.6,,
Wahkiakum2004,N,N,N,N,N,N,N,N,N,,
Walla Walla2004,12.3,12.4,7.6,16.8,27.5,13.1,9.0,5.1,N,,
Whatcom2004,14.4,16.3,14.9,17.6,22.1,25.7,8.5,6.0,2.9,,
Whitman2004,13.3,8.1,8.1,8.1,20.7,14.5,9.2,5.3,N,,
Yakima2004,16.2,19.0,13.6,28.1,36.4,21.4,9.4,6.8,2.2,,
State Total2003,19.2,21.5,13.3,33.9,40.6,27.4,16.1,9.3,3.5,,
Adams2003,10.0,11.3,13.1,N,24.6,9.7,N,N,N,,
Asotin2003,14.0,15.7,N,28.4,37.9,15.9,11.4,7.4,N,,
Benton2003,16.0,19.2,11.9,32.5,38.7,20.4,10.1,6.8,3.0,,
Chelan2003,11.7,15.9,10.2,25.8,22.4,12.7,11.9,8.1,2.0,,
Clallam2003,15.7,19.1,12.6,30.6,36.6,23.5,11.4,9.2,N,,
Clark2003,16.2,18.2,10.2,32.2,37.9,24.7,11.9,8.3,1.9,,
Columbia2003,9.0,N,N,N,N,N,N,N,N,,
Cowlitz2003,14.4,17.4,10.8,28.7,34.1,16.5,11.0,7.8,2.8,,
Douglas2003,9.0,15.5,10.5,25.2,13.7,12.2,8.7,4.3,N,,
Ferry2003,11.1,18.1,N,N,41.9,N,N,N,N,,
Franklin2003,19.3,24.0,16.3,37.1,31.5,31.8,12.7,9.5,N,,
Garfield2003,N,N,N,N,N,N,N,N,N,,
Grant2003,10.5,11.9,9.2,16.6,30.8,12.6,4.9,N,N,,
Grays Harbor2003,19.0,23.9,16.0,37.5,44.0,24.7,18.8,6.0,3.1,,
Island2003,15.5,20.4,11.6,36.5,38.3,15.2,14.3,4.5,3.4,,
Jefferson2003,17.3,26.2,18.3,42.9,54.7,21.0,11.8,8.4,N,,
King2003,23.0,25.9,15.5,41.0,47.6,31.2,20.6,12.0,5.0,,
Kitsap2003,17.5,19.6,11.9,33.5,40.1,27.2,14.0,7.0,2.9,,
Kittitas2003,13.0,12.7,10.0,14.2,17.1,19.5,11.0,8.1,N,,
Klickitat2003,10.3,12.1,N,24.8,33.7,18.6,N,N,N,,
Lewis2003,16.2,15.0,8.0,27.4,32.5,31.3,14.3,8.6,N,,
Lincoln2003,8.0,N,N,N,40.0,N,N,N,N,,
Mason2003,18.6,11.9,5.5,24.2,55.4,31.0,10.6,13.8,N,,
Okanogan2003,13.8,23.1,15.4,38.3,37.1,15.6,7.3,4.1,N,,
Pacific2003,13.3,13.6,N,25.3,43.1,21.8,N,N,N,,
Pend Oreille2003,9.9,N,N,N,34.1,31.8,N,N,N,,
Pierce2003,23.2,25.2,16.3,39.0,50.3,35.4,18.7,10.6,3.6,,
San Juan2003,15.3,19.4,N,N,N,32.8,19.4,N,N,,
Skagit2003,15.4,18.3,9.5,33.3,34.8,24.1,11.9,5.5,2.3,,
Skamania2003,8.4,N,N,N,28.6,N,16.8,N,N,,
Snohomish2003,18.8,24.1,14.1,41.5,45.4,24.4,15.4,8.8,3.4,,
Spokane2003,15.1,17.0,10.0,25.9,30.5,22.2,11.0,7.1,2.2,,
Stevens2003,8.3,10.1,6.2,19.8,29.4,8.8,4.5,4.0,N,,
Thurston2003,20.6,19.6,12.0,31.8,45.7,29.9,16.6,11.6,4.1,,
Wahkiakum2003,N,N,N,N,N,N,N,N,N,,
Walla Walla2003,8.8,9.5,6.7,12.3,14.3,17.2,4.4,4.4,N,,
Whatcom2003,15.8,16.1,13.3,18.7,24.9,25.2,13.4,7.0,3.4,,
Whitman2003,9.7,9.8,11.2,9.4,11.9,12.0,10.0,N,N,,
Yakima2003,17.8,25.2,16.6,40.0,36.6,21.7,12.9,5.7,1.5,,
State Total2002,19.5,22.6,14.0,35.7,41.6,27.4,16.7,9.5,3.2,,
Adams2002,9.2,12.7,13.1,N,18.2,N,11.0,N,N,,
Asotin2002,10.6,15.4,10.1,24.6,21.8,14.3,9.6,N,N,,
Benton2002,14.7,18.1,11.5,30.1,33.3,22.0,11.3,5.8,1.8,,
Chelan2002,12.1,13.8,7.0,25.8,25.5,16.5,10.3,8.7,N,,
Clallam2002,15.6,21.8,14.7,34.6,37.9,24.7,10.0,5.7,3.0,,
Clark2002,16.9,17.8,9.8,31.6,39.3,24.8,16.1,7.9,2.3,,
Columbia2002,13.2,N,N,N,N,N,N,N,N,,
Cowlitz2002,14.6,18.5,9.9,33.1,31.5,21.9,12.2,5.8,2.2,,
Douglas2002,6.7,8.6,6.0,13.7,11.0,15.8,N,N,N,,
Ferry2002,12.5,N,N,N,49.1,N,N,N,N,,
Franklin2002,15.3,19.9,11.8,33.8,33.6,19.0,6.7,7.0,N,,
Garfield2002,N,N,N,N,N,N,N,N,N,,
Grant2002,10.9,14.5,8.1,25.5,26.8,11.4,8.6,2.0,N,,
Grays Harbor2002,17.1,25.1,18.3,37.1,37.8,18.7,14.0,9.8,N,,
Island2002,16.3,26.2,15.8,45.2,40.4,17.3,10.5,7.1,1.8,,
Jefferson2002,17.5,16.4,N,34.3,54.9,18.9,23.2,6.7,5.6,,
King2002,23.1,26.6,15.6,42.5,48.3,31.9,20.6,12.3,4.4,,
Kitsap2002,18.9,22.8,13.4,39.8,42.6,29.3,15.7,8.6,3.1,,
Kittitas2002,13.5,8.9,N,11.9,19.6,19.0,14.4,7.0,N,,
Klickitat2002,7.8,7.5,N,N,29.5,N,N,N,N,,
Lewis2002,16.9,20.3,13.4,32.8,37.8,27.5,12.7,6.5,1.9,,
Lincoln2002,9.5,N,N,N,29.1,N,N,N,N,,
Mason2002,21.3,26.9,21.8,36.9,53.3,25.7,20.6,12.9,N,,
Okanogan2002,14.6,18.7,12.1,31.8,36.9,27.1,6.3,8.7,N,,
Pacific2002,14.6,28.1,17.3,49.5,18.2,21.6,14.6,N,N,,
Pend Oreille2002,13.7,16.0,N,N,46.4,22.8,N,N,N,,
Pierce2002,24.1,28.0,16.1,46.4,54.2,35.3,18.7,10.6,3.9,,
San Juan2002,14.7,14.0,N,N,N,33.6,19.4,N,8.0,,
Skagit2002,11.4,12.8,6.2,23.9,24.8,17.4,9.4,5.6,2.0,,
Skamania2002,5.1,N,N,N,N,N,N,N,N,,
Snohomish2002,19.8,26.2,16.1,43.7,46.9,25.3,17.6,9.6,3.1,,
Spokane2002,17.0,19.3,13.6,26.7,35.8,23.6,13.7,7.3,2.1,,
Stevens2002,10.2,13.8,7.9,28.7,23.7,12.6,7.2,7.0,3.4,,
Thurston2002,21.1,24.9,15.0,40.8,49.4,27.4,16.5,11.6,2.6,,
Wahkiakum2002,N,N,N,N,N,N,N,N,N,,
Walla Walla2002,11.0,10.4,7.5,13.1,21.7,16.6,10.6,4.3,N,,
Whatcom2002,10.7,12.6,11.9,13.3,14.9,15.4,10.2,6.0,2.5,,
Whitman2002,12.1,10.6,N,11.9,18.4,9.1,6.3,8.0,N,,
Yakima2002,17.9,24.8,19.2,34.5,38.4,23.3,11.9,5.4,1.7,,
State Total2001,20.0,23.9,15.1,37.2,43.9,28.3,17.3,9.1,3.1,,
Adams2001,10.5,7.1,N,N,26.5,N,15.0,N,N,,
Asotin2001,11.4,19.0,11.9,31.6,29.2,12.3,N,N,N,,
Benton2001,14.1,18.5,13.5,27.6,32.0,20.6,11.2,6.4,1.2,,
Chelan2001,14.5,18.5,7.7,37.3,38.6,17.9,9.8,7.6,N,,
Clallam2001,16.6,22.2,16.8,31.9,41.3,17.9,19.1,7.5,2.5,,
Clark2001,18.4,20.4,10.4,37.9,45.2,27.0,15.4,8.3,2.6,,
Columbia2001,11.5,N,N,N,N,N,N,N,N,,
Cowlitz2001,16.3,19.6,11.9,32.7,29.1,29.1,14.5,8.0,2.7,,
Douglas2001,9.7,10.2,8.3,13.7,24.7,10.1,8.9,4.9,N,,
Ferry2001,9.2,24.1,N,55.6,N,N,N,N,N,,
Franklin2001,13.0,17.6,11.3,28.4,21.8,18.5,7.8,7.7,N,,
Garfield2001,N,N,N,N,N,N,N,N,N,,
Grant2001,11.3,17.2,11.2,27.8,27.8,12.2,6.6,2.0,N,,
Grays Harbor2001,17.2,23.4,13.7,40.5,43.9,17.9,17.1,6.8,2.6,,
Island2001,15.7,21.5,14.6,34.0,42.6,15.7,11.8,5.7,2.9,,
Jefferson2001,18.8,17.7,16.0,21.6,55.0,39.8,20.1,10.3,N,,
King2001,23.7,27.9,17.8,42.5,50.6,33.1,21.6,12.2,3.8,,
Kitsap2001,19.4,29.3,17.1,51.6,47.5,27.4,10.7,7.7,3.7,,
Kittitas2001,16.9,13.8,9.9,16.0,26.1,20.1,22.4,6.8,N,,
Klickitat2001,12.5,15.0,12.8,N,45.0,13.3,N,8.9,N,,
Lewis2001,16.9,17.9,12.6,27.5,42.6,22.9,14.5,8.9,2.3,,
Lincoln2001,6.9,N,N,N,N,N,N,N,N,,
Mason2001,17.1,21.1,15.4,32.4,44.0,29.0,14.0,7.7,N,,
Okanogan2001,12.5,23.1,17.9,33.4,25.8,16.4,8.1,6.1,N,,
Pacific2001,12.8,11.3,N,29.3,48.4,13.6,10.5,8.5,N,,
Pend Oreille2001,12.9,N,N,N,60.4,27.0,16.7,N,N,,
Pierce2001,25.0,29.0,19.3,44.0,57.3,37.1,19.8,9.6,4.0,,
San Juan2001,12.5,N,N,N,30.0,26.0,20.1,11.2,N,,
Skagit2001,13.3,17.3,10.0,29.8,30.2,20.6,11.6,4.9,N,,
Skamania2001,8.2,13.5,N,N,25.1,N,N,N,N,,
Snohomish2001,20.5,28.4,17.1,47.9,50.3,26.8,17.4,8.9,3.6,,
Spokane2001,17.4,21.1,12.8,32.0,36.3,23.6,15.6,6.0,2.8,,
Stevens2001,8.7,10.0,N,26.3,26.9,14.7,8.0,N,N,,
Thurston2001,20.4,24.2,15.8,37.7,45.2,30.2,17.6,8.1,3.7,,
Wahkiakum2001,N,N,N,N,N,N,N,N,N,,
Walla Walla2001,10.4,12.5,11.7,13.2,16.4,15.7,11.9,4.7,N,,
Whatcom2001,12.9,13.9,6.3,20.9,23.2,15.7,11.3,7.7,1.1,,
Whitman2001,11.0,11.2,N,13.2,15.3,11.4,4.4,7.7,N,,
Yakima2001,17.1,22.4,15.0,35.3,38.9,22.4,11.4,4.6,2.3,,
State Total2000,20.2,25.0,15.7,39.0,43.4,28.7,17.8,9.3,3.2,,
Adams2000,11.0,8.7,N,20.4,35.4,9.6,N,N,N,,
Asotin2000,10.4,15.2,9.9,24.8,22.8,15.4,N,N,N,,
Benton2000,14.8,18.8,12.0,31.1,39.3,20.0,10.6,5.7,2.2,,
Chelan2000,10.7,11.2,9.1,14.8,24.5,17.7,7.9,5.7,N,,
Clallam2000,16.1,22.2,9.1,46.1,44.0,19.1,13.9,8.2,2.9,,
Clark2000,16.7,21.3,13.6,34.7,40.7,23.4,13.6,6.8,2.8,,
Columbia2000,8.6,N,N,N,N,N,N,N,N,,
Cowlitz2000,15.0,18.1,9.2,33.4,31.2,21.8,12.4,8.5,2.8,,
Douglas2000,9.0,12.6,6.0,24.9,24.4,9.8,5.1,5.5,N,,
Ferry2000,9.1,N,N,N,N,N,N,N,N,,
Franklin2000,15.6,17.0,6.1,35.6,30.0,24.9,12.1,6.5,N,,
Garfield2000,N,N,N,N,N,N,N,N,N,,
Grant2000,9.6,13.5,8.8,22.1,22.2,9.8,6.4,4.4,N,,
Grays Harbor2000,18.5,22.2,18.9,27.9,48.0,26.7,15.4,6.7,2.6,,
Island2000,17.0,25.7,19.7,36.5,40.0,20.2,14.8,7.3,N,,
Jefferson2000,21.0,23.1,17.8,34.6,52.2,38.8,21.8,14.9,4.4,,
King2000,24.8,30.8,18.4,48.6,52.5,34.8,22.3,12.3,4.4,,
Kitsap2000,17.3,23.1,12.4,42.9,40.5,27.0,14.3,6.7,2.4,,
Kittitas2000,15.3,13.4,8.2,16.5,21.0,21.7,14.8,13.3,N,,
Klickitat2000,10.7,18.0,15.0,25.3,28.2,12.6,N,N,N,,
Lewis2000,14.8,18.8,10.3,34.4,24.5,25.3,15.9,6.2,3.4,,
Lincoln2000,10.4,19.4,23.0,N,N,26.5,N,N,N,,
Mason2000,19.5,26.0,15.3,47.5,59.5,29.6,16.6,4.6,N,,
Okanogan2000,13.5,16.5,13.9,21.6,39.3,17.7,12.6,4.5,N,,
Pacific2000,15.7,19.2,21.4,N,47.5,31.3,N,N,N,,
Pend Oreille2000,13.9,24.8,N,56.0,46.2,N,N,N,N,,
Pierce2000,24.7,31.4,21.8,46.3,55.5,34.7,20.8,11.2,3.2,,
San Juan2000,22.8,29.2,21.7,44.6,57.0,43.1,34.4,N,9.5,,
Skagit2000,16.0,20.2,11.4,35.0,34.3,24.5,13.6,5.9,2.5,,
Skamania2000,10.1,N,N,N,N,24.3,N,N,N,,
Snohomish2000,19.7,26.7,16.8,43.8,45.4,27.7,18.3,9.7,2.6,,
Spokane2000,16.0,20.0,12.1,30.5,34.0,22.7,13.4,5.6,2.4,,
Stevens2000,6.8,8.7,7.8,11.0,17.0,8.2,4.5,5.8,N,,
Thurston2000,21.3,29.3,17.8,48.0,47.9,25.1,20.0,9.4,3.4,,
Wahkiakum2000,14.7,N,N,N,N,N,N,N,N,,
Walla Walla2000,11.5,14.9,9.9,19.9,14.9,23.3,13.1,3.4,N,,
Whatcom2000,17.0,21.1,14.5,27.2,28.7,22.4,13.7,8.0,3.0,,
Whitman2000,10.8,11.5,9.0,12.3,13.5,11.7,10.5,4.5,N,,
Yakima2000,16.6,23.2,15.5,36.4,37.1,20.5,12.0,5.0,1.9,,
State Total1999,20.2,25.5,16.1,39.6,44.8,27.8,16.9,9.6,3.3,,
Adams1999,8.7,8.8,N,N,19.1,21.2,N,N,N,,
Asotin1999,9.6,13.9,N,28.4,29.3,N,9.3,N,N,,
Benton1999,14.6,17.3,11.0,28.8,39.0,20.8,10.7,6.0,2.1,,
Chelan1999,13.4,15.7,9.7,26.0,34.2,22.4,10.2,2.8,2.6,,
